NR_ZONA;NR_SECAO;DS_GENERO;DS_FAIXA_ETARIA;DS_GRAU_ESCOLARIDADE;DS_TIPO_DEFICIENCIA;;;;;;
411;170;FEMININO;30 a 34 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;26;FEMININO;65 a 69 anos                  ;ANALFABETO;OUTROS;;;;;;
412;342;MASCULINO;40 a 44 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;62;MASCULINO;65 a 69 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
127;567;FEMININO;21 a 24 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
412;210;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;325;MASCULINO;40 a 44 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;37;FEMININO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;168;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;FEMININO;65 a 69 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
127;25;MASCULINO;65 a 69 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;171;FEMININO;70 a 74 anos                  ;LE E ESCREVE;OUTROS;;;;;;
411;170;FEMININO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;40;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;289;MASCULINO;35 a 39 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;130;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;14;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
282;198;FEMININO;60 a 64 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;194;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;537;FEMININO;25 a 29 anos                  ;ANALFABETO;OUTROS;;;;;;
411;184;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
282;207;MASCULINO;50 a 54 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;708;MASCULINO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;2;MASCULINO;25 a 29 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
282;77;FEMININO;65 a 69 anos                  ;ANALFABETO;OUTROS;;;;;;
412;313;FEMININO;21 a 24 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;2;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
411;170;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;280;FEMININO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
411;35;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
282;226;MASCULINO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;246;FEMININO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
127;340;MASCULINO;20 anos                       ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
